User-ID;ISBN;Book-Rating
276746;0449006522;0
276755;0451166892;5
276796;0330332775;5
276925;0316666343;0
276925;0451527747;0
276925;0486282112;0
276925;0804106304;0
276925;0971880107;0
276925;1853262404;0
276925;8427007450;0
276939;0971880107;0
276953;0446310786;10
276954;0971880107;0
277042;0446605484;7
277042;0971880107;2
277123;0399138684;0
277157;0743486226;7
277157;0971880107;0
277168;0440225701;0
277187;0671042858;0
277195;0316666343;0
277195;0330332775;10
277195;0375406328;0
277195;042511774X;0
277195;0446605484;0
277203;0590629719;10
277212;044023722X;8
277246;0452282152;10
277315;0060173289;8
277315;0060976845;5
277378;0971880107;0
277411;044023722X;0
277413;0316666343;0
277427;0140067477;0
277427;0142001740;0
277427;0316666343;0
277427;0345311396;0
277427;0375751513;9
277427;0380718332;0
277427;0440225701;0
277427;0971880107;0
277439;0316666343;7
277439;0671027360;7
277478;0440225701;0
277478;0440234743;0
277478;0671888587;0
277478;0786868716;0
277478;0971880107;0
277517;0452282152;8
277523;0385508042;10
277523;1558744150;10
277530;0971880107;0
277569;0385511612;0
277641;0375406328;7
277647;067976397X;8
277689;0804106304;0
277698;0316769487;6
277706;0380717018;0
277711;0452264464;0
277722;0449005615;10
277743;0446310786;9
277744;0449005615;0
277752;0316666343;7
277783;0380778556;8
277803;0142001740;8
277827;0380778556;9
277828;0380778556;8
277901;0452282152;8
277901;0679427430;8
277922;0440225701;6
277928;0060173289;0
277928;0375400117;0
277928;038542471X;0
277928;0679429220;0
277932;0971880107;0
277958;0142001740;9
277965;0060173289;0
277965;0316666343;0
277965;0345378490;0
277965;0345402871;0
277965;0345417623;0
278002;044651747X;0
278026;0449006522;8
278075;0452282152;8
278085;0374270325;7
278104;0804111359;0
278137;0671888587;0
278137;0804106304;8
278137;0971880107;0
278137;1558744150;9
278144;0345417623;0
278144;0440234743;0
278144;140003180X;0
278153;0446612545;0
278176;0971880107;9
278188;0140345809;0
278188;0440223571;9
278188;0440225701;9
278188;0553278746;0
278202;0312252617;4
278202;0385497466;3
278202;0446527165;0
278218;0060977493;7
278221;0804106304;9
278254;0671027360;8
278255;1878424319;0
278257;0449912302;5
278333;0440225701;10
278342;0425184226;0
278356;0374270325;9
278373;0971880107;0
278390;0425182908;4
278390;0553569058;9
278390;0671027360;7
278390;0804106304;0
278418;0061076031;0
278418;0374270325;0
278418;038076654X;0
278418;0399138684;0
278418;0425120279;0
278418;042518630X;7
278418;044021145X;0
278418;0440223571;0
278418;0440225701;0
278418;044023722X;0
278418;0446310786;0
278418;0446601640;0
278418;0449212084;0
278418;0451162072;0
278418;0452264464;0
278418;0671867113;0
278418;1853260053;0
278422;0671027360;6
278514;0971880107;0
278535;0380717018;0
278535;0380718332;0
278535;042511774X;0
278535;0446605484;10
278541;0142001740;9
278554;0385730586;9
278561;0446612545;7
278586;0380728273;0
278633;0316666343;9
278633;0380730138;0
278633;0385730586;0
278633;0446610399;0
278681;0375704965;7
278692;0060976845;0
278723;0553580388;0
278800;0312995423;9
278819;0385511612;0
278832;155874262X;10
278843;0060173289;9
278843;0060976845;0
278843;0804106304;0
278851;1558531025;8
2;0195153448;0
8;0002005018;5
8;0060973129;0
8;0374157065;0
8;0393045218;0
8;0399135782;0
8;0425176428;0
8;0671870432;0
8;0679425608;0
8;074322678X;5
8;0771074670;0
8;080652121X;0
8;0887841740;5
8;1552041778;5
8;1558746218;0
8;1567407781;6
8;1575663937;6
8;1881320189;7
9;0440234743;0
9;0452264464;6
9;0609804618;0
10;1841721522;0
12;1879384493;10
14;0061076031;5
14;0439095026;5
14;0689821166;6
14;0971880107;0
16;0345402871;9
16;0345417623;0
17;0684823802;0
19;0375759778;7
20;0425163091;0
22;3442353866;0
22;3442410665;0
22;3442446937;0
23;0375406328;0
26;0446310786;10
26;0449005615;9
32;0060168013;8
32;038078243X;0
32;055321215X;0
36;067176537X;0
39;0061099686;0
39;0553582909;8
39;0671888587;7
42;0553582747;7
44;0425182908;0
44;042518630X;0
44;0440223571;8
44;0812523873;0
44;0842342702;0
51;0440225701;9
53;0060914068;3
53;0156047624;10
53;0245542957;6
53;0380715899;9
53;0553280333;0
53;0961769947;0
53;0964778319;0
56;0671623249;7
56;0679810307;0
56;0679865691;9
64;2070423204;7
67;0345260317;0
67;0394743741;7
67;042511774X;0
67;0804106304;0
68;1853262404;0
69;0312970242;0
69;1853260053;8
70;1414035004;10
73;0060938412;5
75;0140067477;0
75;0345465083;0
75;0451625889;0
75;1558531025;5
77;0441783589;0
78;0394895894;8
79;1569871213;0
81;0375410538;5
82;0966986105;10
83;087113375X;7
85;0340767936;5
85;0743403843;0
86;0060930365;4
87;0060177586;0
87;0071416331;8
87;0375509038;8
88;0553062042;7
91;0316769487;9
92;8445071408;7
92;8445071769;8
92;8445071777;10
95;0679429220;0
97;0671867156;7
99;0312252617;8
99;0312261594;8
99;0316748641;7
99;0316973742;0
99;0385235941;6
99;0446677450;10
99;0451166892;3
99;0553347594;9
99;0671621009;10
99;067976397X;0
99;0684822733;0
99;0786868716;0
102;8472238822;7
107;0671864769;8
109;0671521519;5
110;0440222303;6
114;0312953453;7
114;0446608653;9
114;0446612545;9
114;0446612618;8
114;0451208080;8
114;0553584383;9
114;0671027360;10
114;0812575954;5
125;0679429220;10
129;0316735736;7
132;0743439740;0
133;0345372700;10
133;0380619458;0
133;0446325805;0
135;0451406923;0
135;0671042858;0
139;0743249992;0
141;0840734530;10
144;0425184226;0
151;0375500766;0
160;9724119378;0
162;0451205197;5
165;0060929790;0
165;0060976845;9
165;0061099325;4
165;0446612545;5
165;0671004573;0
169;0446601640;7
176;0330484516;0
176;038572179X;0
176;0393020371;0
176;1900850303;4
176;1903019699;0
178;0345425294;0
178;0451410319;6
178;0553583468;0
183;8420639133;0
183;8476409419;8
185;0380778556;10
185;0451525221;0
190;0002740230;7
193;0971880107;0
199;0385336772;0
199;0440949424;0
199;0505524996;0
202;0140252800;6
204;0451452755;0
204;0812575482;0
207;044651747X;0
212;0060801263;8
215;0061030147;6
217;0140250964;8
224;0446527165;8
226;0671461494;8
228;0385337639;7
228;039575514X;9
230;0451206673;6
232;0330332775;0
232;0486284735;8
232;0671021745;4
232;0671047612;6
232;0671504282;6
236;0399138684;0
237;0785263292;0
237;0830714014;0
241;0345354931;0
242;0553278223;10
242;0971880107;0
242;3257208626;8
242;3257233051;9
242;3423116714;0
242;3423241489;0
242;3426605686;0
242;3453212150;7
242;3498020862;8
242;3499151502;9
243;0060977493;7
243;0312872682;0
243;0316602906;0
243;0316666343;0
243;0316693006;0
243;0345311396;0
243;0345378490;0
243;0345404793;0
243;0345433173;0
243;0345465083;0
243;0375400117;10
243;0375705856;0
243;0380717018;0
243;0380718332;0
243;0380754509;0
243;038076654X;0
243;0380807866;0
243;0385316895;6
243;0385497466;0
243;0385508042;0
243;0385509456;0
243;0385511612;0
243;0385730586;0
243;042511774X;0
243;0425164403;0
243;0440225701;0
243;0440234743;0
243;0440234964;0
243;044023722X;7
243;0446605484;0
243;0446610399;0
243;0449006522;6
243;0449911004;0
243;0451162072;0
243;0451186648;0
243;0452282152;0
243;051513290X;0
243;0553580388;8
243;0590598848;0
243;0590629719;0
243;0671023616;0
243;0671027387;0
243;0684848783;0
243;0743486226;0
243;0786863986;5
243;0803251718;5
243;0804117934;0
243;140003180X;0
243;155874262X;5
244;0060977493;7
244;0060987103;8
244;0151008116;9
244;0375704965;8
244;0525947647;9
244;0804111359;8
244;155874262X;6
244;1558744150;6
247;0435272683;7
250;006102063X;0
254;0060013117;0
254;0060199563;0
254;006052779X;0
254;0060563079;0
254;0060809027;0
254;0061040967;0
254;0061050474;0
254;0061052515;0
254;0061052523;0
254;0064472264;0
254;0140620664;0
254;0142001740;9
254;0312148267;0
254;0312156960;0
254;0312890044;0
254;0316769487;0
254;034543191X;0
254;0373836023;7
254;0375751513;0
254;0375801677;0
254;0375814248;0
254;0375823352;0
254;037582345X;9
254;0375823468;9
254;0380730448;8
254;0380973839;9
254;0385327773;0
254;0394586239;0
254;0439510112;0
254;0440241413;0
254;0451409256;7
254;0451523415;0
254;0451526279;0
254;0451526341;8
254;0452282152;0
254;0486415864;0
254;0553280589;0
254;0670035262;0
254;0679423079;0
254;0679751343;0
254;0684833395;0
254;0743245024;0
254;0749748001;0
254;0749748028;0
254;0804106304;0
254;0963094424;0
254;1401201172;0
254;1563892278;0
254;1563898586;0
254;156971620X;9
254;1592571301;0
256;0374270325;0
256;0375719180;0
256;0440235502;9
256;044023722X;8
257;1573225487;8
257;1853260673;8
272;0060977477;7
272;0345391691;0
272;0520011171;7
272;0553278746;0
272;0670856045;7
272;0872200760;8
272;0937858994;0
273;0671649949;6
278;0590431110;6
280;0316769487;7
289;0064470113;7
289;0553571486;6
291;0972044205;9
300;0312963009;5
300;0345430476;5
300;0345435869;0
300;0380728729;5
300;038081840X;5
300;0449912302;9
300;055329198X;5
300;0671018930;5
300;0812541642;5
302;0312988699;4
306;0486282112;0
311;0670815373;0
313;0385313748;8
323;1575843366;5
326;0684193957;10
327;0345371984;0
332;0380730138;6
334;1573228737;8
337;9681500555;9
338;0380711109;0
339;0452283914;8
343;0425120279;0
345;067153484X;6
356;0380728273;7
361;8433914545;8
361;8484509141;4
362;0446606197;7
362;0771076002;0
362;0771088191;0
362;1559703237;0
367;0449005615;9
376;0062770500;7
376;0671847546;5
383;0060188731;0
383;0140374248;0
383;0142001740;0
383;0195086295;0
383;0312995423;0
383;0380704587;0
383;0380815923;10
383;0385416342;10
383;0385418493;0
383;038542471X;0
383;0425098109;5
383;0449005410;0
383;0449202631;0
383;0449207544;0
383;0515128554;0
383;0517577402;10
383;0590450875;0
383;0590481371;0
383;067103619X;0
383;0684177730;0
383;0684180200;0
383;0743411269;5
383;0743470389;0
383;076218857X;0
383;0767905938;0
383;0800706544;0
383;0801096677;0
383;0849953014;0
383;0891091963;5
383;0915811537;0
383;0927545373;0
383;1575024179;0
383;1880185008;5
384;0140345809;0
384;0380012863;0
384;0451154916;0
384;0785815147;0
384;0875421288;0
384;1567184294;0
384;156718796X;0
384;1862047626;0
387;0020437501;0
387;0198320264;2
387;0373196989;6
387;0373245580;0
387;0451527747;10
387;0671867113;0
387;0812504208;9
388;0060173289;0
388;0060973897;8
388;0060976845;3
388;006101351X;6
388;0140104682;6
388;0312143370;0
388;0316666343;0
388;039456894X;8
388;0440224675;0
388;0440234743;0
388;0449002632;7
388;0449213773;10
388;0452279690;10
388;0553569058;10
388;0679427430;0
388;0679725393;9
388;0802114369;8
388;0803233019;0
388;0819154946;8
388;0897322339;7
388;0940322978;4
388;1573225126;5
388;1579651658;8
388;1878424319;7
392;8427007450;10
392;8474103347;7
392;8478098267;9
392;8478884963;9
393;0600586898;6
393;1853260622;0
393;1857938011;6
400;0060804157;0
406;8466601090;0
408;0140382658;0
408;0152012966;0
408;0312283784;8
408;0345297709;0
408;0345313097;0
408;0345335465;0
408;0345416848;0
408;0385333404;0
408;044021145X;0
408;0449212084;0
408;0553582682;9
408;0590947257;8
408;074345829X;0
486;0060976845;8
487;0671888587;6
487;0971880107;0
503;0060987103;0
507;0142001740;10
507;0553583468;7
559;0060976845;0
569;0971880107;0
595;0446610399;9
626;0971880107;0
638;0316666343;10
638;0316693006;10
638;0316769487;10
645;0449006522;0
709;0316666343;3
735;0440224675;0
735;0440225701;0
741;0020437501;0
741;0198320264;10
741;0812504208;0
780;0449911004;10
805;0452282152;8
843;0449005615;0
882;0446610399;0
882;0553278223;0
882;0553280589;10
882;0553569058;0
882;0679429220;9
885;0804106304;5
899;0971880107;2
900;0449212084;5
901;0375751513;0
901;0971880107;0
